size,Triton,Torch
1048576.000000,682.666643,682.666643
2097152.000000,969.109081,910.222190
4194304.000000,1224.971964,1170.285698
8388608.000000,1489.454534,1456.355533
16777216.000000,1680.410315,1659.139290
33554432.000000,1795.506778,1611.334595
67108864.000000,1859.177347,1765.279512
134217728.000000,1889.326205,1849.340355
268435456.000000,1904.770206,1890.949853
536870912.000000,1913.459918,1908.236602
1073741824.000000,1917.396106,1910.409413
